stream_id,gesture_order,gesture,start_sample,end_sample
29,2,thank-you_5.csv,519,761
29,3,i-am-fine_25.csv,796,973
30,0,good-morning_2.csv,28,254
30,1,i-am-fine_26.csv,269,458
30,2,thank-you_21.csv,473,629
30,3,please_12.csv,644,921
31,0,hello_4.csv,44,314
31,1,good-morning_10.csv,337,601
31,2,thank-you_21.csv,624,780
32,0,good-afternoon_1.csv,46,268
32,1,please_37.csv,292,486
32,2,please_14.csv,510,780
33,0,good-afternoon_2.csv,66,321
33,1,good-afternoon_16.csv,355,569
33,2,hello_17.csv,603,756
34,0,excuse-me_12.csv,28,218
34,1,good-morning_19.csv,233,478
34,2,please_15.csv,493,773
34,3,thank-you_10.csv,788,1039
35,0,i-love-you_29.csv,48,271
35,1,i-love-you_17.csv,296,608
35,2,please_18.csv,633,940
36,0,hello_8.csv,70,308
36,1,i-am-fine_4.csv,344,610
36,2,i-am-fine_24.csv,646,825
36,3,good-morning_24.csv,861,1050
37,0,excuse-me_8.csv,22,250
37,1,good-morning_16.csv,262,559
37,2,thank-you_23.csv,571,720
38,0,thank-you_9.csv,40,201
38,1,good-afternoon_22.csv,222,486
38,2,please_39.csv,507,695
39,0,thank-you_7.csv,20,267
39,1,hello_12.csv,278,507
39,2,thank-you_13.csv,518,682
39,3,i-love-you_20.csv,693,963
40,0,good-morning_26.csv,28,200
40,1,good-afternoon_11.csv,215,438
40,2,hello_14.csv,453,614
40,3,please_35.csv,629,816
41,0,excuse-me_16.csv,30,185
41,1,please_9.csv,201,454
41,2,good-morning_3.csv,470,684
41,3,thank-you_17.csv,700,842
42,0,i-am-fine_28.csv,80,256
42,1,good-afternoon_11.csv,297,520
42,2,good-afternoon_16.csv,561,775
42,3,i-love-you_6.csv,816,1113
43,0,i-am-fine_27.csv,44,225
43,1,i-am-fine_1.csv,248,472
43,2,hello_16.csv,495,694
43,3,i-am-fine_10.csv,717,936
44,0,i-love-you_12.csv,74,393
44,1,i-love-you_21.csv,431,711
44,2,excuse-me_7.csv,749,958
44,3,good-morning_11.csv,996,1203
45,0,i-love-you_12.csv,80,399
45,1,i-am-fine_3.csv,440,658
45,2,i-am-fine_23.csv,699,897
45,3,good-morning_19.csv,938,1183
46,0,please_3.csv,86,337
46,1,good-morning_17.csv,381,692
46,2,hello_10.csv,736,956
46,3,please_30.csv,1000,1182
47,0,hello_3.csv,20,281
47,1,good-morning_12.csv,292,557
47,2,hello_2.csv,568,797
47,3,i-am-fine_1.csv,808,1032
48,0,thank-you_28.csv,24,175
48,1,thank-you_7.csv,188,435
48,2,good-afternoon_9.csv,448,645
48,3,thank-you_4.csv,658,887
49,0,please_1.csv,22,267
49,1,i-love-you_13.csv,279,597
49,2,thank-you_16.csv,609,793
50,0,i-love-you_20.csv,76,346
50,1,excuse-me_7.csv,385,594
50,2,please_1.csv,633,878
50,3,i-am-fine_8.csv,917,1170
51,0,good-afternoon_14.csv,80,332
51,1,please_35.csv,373,560
51,2,good-afternoon_16.csv,601,815
51,3,i-am-fine_17.csv,856,986
52,0,i-am-fine_22.csv,20,202
52,1,please_5.csv,213,469
52,2,good-afternoon_7.csv,480,710
52,3,hello_8.csv,721,959
53,0,i-am-fine_23.csv,72,270
53,1,i-love-you_28.csv,307,530
53,2,i-love-you_20.csv,567,837
54,0,i-am-fine_18.csv,80,260
54,1,excuse-me_16.csv,301,456
54,2,i-am-fine_25.csv,497,674
55,0,good-morning_9.csv,82,377
55,1,please_26.csv,419,615
55,2,hello_25.csv,657,815
55,3,excuse-me_14.csv,857,1000
56,0,i-am-fine_25.csv,24,201
56,1,thank-you_27.csv,214,360
56,2,thank-you_14.csv,373,533
56,3,hello_19.csv,546,715
57,0,excuse-me_16.csv,50,205
57,1,please_14.csv,231,501
57,2,hello_21.csv,527,707
58,0,excuse-me_13.csv,44,238
58,1,i-am-fine_10.csv,261,480
58,2,please_18.csv,503,810
58,3,hello_27.csv,833,1009
59,0,good-morning_18.csv,50,332
59,1,good-afternoon_6.csv,358,584
59,2,good-morning_15.csv,610,885
59,3,i-am-fine_18.csv,911,1091
60,0,please_2.csv,48,287
60,1,hello_25.csv,312,470
60,2,excuse-me_2.csv,495,685
60,3,thank-you_21.csv,710,866
61,0,please_8.csv,22,288
61,1,i-love-you_11.csv,300,591
61,2,please_8.csv,603,869
61,3,please_15.csv,881,1161
62,0,good-afternoon_20.csv,30,283
62,1,please_18.csv,299,606
62,2,please_26.csv,622,818
63,0,excuse-me_9.csv,66,255
63,1,i-love-you_15.csv,289,553
63,2,good-morning_16.csv,587,884
63,3,good-morning_1.csv,918,1156
64,0,good-morning_7.csv,50,272
64,1,good-morning_16.csv,298,595
64,2,i-love-you_1.csv,621,921
64,3,hello_8.csv,947,1185
65,0,good-morning_23.csv,28,219
65,1,good-afternoon_18.csv,234,504
65,2,hello_7.csv,519,748
65,3,i-am-fine_23.csv,763,961
66,0,thank-you_7.csv,20,267
66,1,hello_23.csv,278,413
66,2,i-love-you_15.csv,424,688
66,3,i-love-you_12.csv,699,1018
67,0,thank-you_22.csv,50,222
67,1,i-love-you_19.csv,248,518
67,2,please_24.csv,544,727
67,3,please_35.csv,753,940
68,0,hello_4.csv,24,294
68,1,good-morning_21.csv,307,591
68,2,thank-you_30.csv,604,765
68,3,thank-you_15.csv,778,959
69,0,i-love-you_17.csv,46,358
69,1,i-love-you_18.csv,382,671
69,2,hello_18.csv,695,857
69,3,i-am-fine_26.csv,881,1070
70,0,hello_27.csv,46,222
70,1,thank-you_9.csv,246,407
70,2,i-love-you_12.csv,431,750
70,3,good-morning_20.csv,774,1054
71,0,please_8.csv,70,336
71,1,good-afternoon_8.csv,372,581
71,2,i-am-fine_7.csv,617,877
71,3,excuse-me_1.csv,913,1096
72,0,good-morning_12.csv,78,343
72,1,good-morning_28.csv,383,562
72,2,hello_30.csv,602,770
72,3,please_21.csv,810,1094
73,0,thank-you_21.csv,50,206
73,1,good-morning_6.csv,232,465
73,2,good-afternoon_4.csv,491,741
73,3,good-afternoon_8.csv,767,976
74,0,hello_7.csv,30,259
74,1,good-afternoon_1.csv,275,497
74,2,i-love-you_20.csv,513,783
74,3,please_3.csv,799,1050
75,0,i-love-you_11.csv,44,335
75,1,thank-you_14.csv,358,518
75,2,please_18.csv,541,848
76,0,good-afternoon_8.csv,46,255
76,1,good-morning_20.csv,279,559
76,2,please_26.csv,583,779
76,3,thank-you_5.csv,803,1045
77,0,please_38.csv,68,265
77,1,please_6.csv,300,554
77,2,i-am-fine_10.csv,589,808
77,3,i-love-you_24.csv,843,1048
78,0,please_36.csv,68,255
78,1,i-love-you_20.csv,290,560
78,2,please_32.csv,595,774
78,3,good-morning_16.csv,809,1106
79,0,thank-you_10.csv,54,305
79,1,please_19.csv,333,558
79,2,i-love-you_25.csv,586,811
80,0,please_35.csv,54,241
80,1,good-afternoon_2.csv,269,524
80,2,thank-you_20.csv,552,705
81,0,i-love-you_5.csv,54,274
81,1,i-am-fine_12.csv,302,491
81,2,i-love-you_23.csv,519,745
82,0,good-afternoon_3.csv,74,318
82,1,please_18.csv,356,663
82,2,good-morning_6.csv,701,934
82,3,thank-you_13.csv,972,1136
83,0,i-am-fine_21.csv,68,223
83,1,good-afternoon_9.csv,258,455
83,2,thank-you_8.csv,490,708
84,0,hello_24.csv,30,210
84,1,good-afternoon_4.csv,226,476
84,2,please_9.csv,492,745
85,0,good-morning_1.csv,52,290
85,1,please_38.csv,317,514
85,2,i-am-fine_3.csv,541,759
86,0,thank-you_30.csv,58,219
86,1,i-love-you_29.csv,249,472
86,2,thank-you_20.csv,502,655
87,0,please_16.csv,56,320
87,1,good-morning_15.csv,349,624
87,2,please_28.csv,653,848
88,0,thank-you_9.csv,78,239
88,1,please_17.csv,279,550
88,2,excuse-me_14.csv,590,733
89,0,excuse-me_4.csv,30,231
89,1,good-morning_19.csv,247,492
89,2,please_6.csv,508,762
90,0,please_14.csv,46,316
90,1,hello_5.csv,340,541
90,2,excuse-me_8.csv,565,793
91,0,please_31.csv,54,242
91,1,please_31.csv,270,458
91,2,i-love-you_14.csv,486,806
92,0,good-morning_7.csv,50,272
92,1,hello_15.csv,298,481
92,2,hello_11.csv,507,725
93,0,i-love-you_10.csv,74,382
93,1,good-morning_10.csv,420,684
93,2,thank-you_29.csv,722,862
94,0,good-morning_10.csv,66,330
94,1,i-am-fine_10.csv,364,583
94,2,hello_14.csv,617,778
95,0,good-morning_24.csv,50,239
95,1,thank-you_1.csv,265,504
95,2,hello_26.csv,530,689
95,3,please_5.csv,715,971
96,0,hello_9.csv,44,304
96,1,i-love-you_27.csv,327,550
96,2,please_1.csv,573,818
97,0,good-morning_23.csv,24,215
97,1,i-am-fine_4.csv,228,494
97,2,i-am-fine_22.csv,507,689
98,0,good-morning_27.csv,48,234
98,1,excuse-me_5.csv,259,506
98,2,i-am-fine_12.csv,531,720
99,0,i-love-you_27.csv,66,289
99,1,excuse-me_4.csv,323,524
99,2,hello_3.csv,558,819
99,3,thank-you_7.csv,853,1100
100,0,please_30.csv,28,210
100,1,i-love-you_12.csv,225,544
100,2,i-love-you_7.csv,559,830
100,3,good-afternoon_20.csv,845,1098
101,0,good-morning_5.csv,78,333
101,1,please_12.csv,373,650
101,2,please_23.csv,690,869
101,3,i-am-fine_7.csv,909,1169
102,0,good-afternoon_21.csv,48,308
102,1,i-love-you_3.csv,333,598
102,2,good-morning_16.csv,623,920
102,3,good-afternoon_19.csv,945,1201
103,0,excuse-me_7.csv,30,239
103,1,please_14.csv,255,525
103,2,hello_24.csv,541,721
104,0,i-am-fine_5.csv,20,251
104,1,i-love-you_7.csv,262,533
104,2,excuse-me_8.csv,544,772
104,3,i-love-you_25.csv,783,1008
105,0,i-love-you_23.csv,30,256
105,1,excuse-me_9.csv,272,461
105,2,thank-you_11.csv,477,741
105,3,please_18.csv,757,1064
106,0,thank-you_6.csv,52,282
106,1,i-am-fine_13.csv,309,491
106,2,i-love-you_3.csv,518,783
107,0,please_25.csv,66,274
107,1,thank-you_20.csv,308,461
107,2,good-morning_19.csv,495,740
108,0,good-afternoon_12.csv,76,319
108,1,i-love-you_18.csv,358,647
108,2,hello_12.csv,686,915
108,3,i-am-fine_28.csv,954,1130
109,0,thank-you_5.csv,54,296
109,1,please_39.csv,324,512
109,2,please_33.csv,540,721
110,0,please_20.csv,26,299
110,1,please_40.csv,313,524
110,2,please_1.csv,538,783
110,3,hello_18.csv,797,959
111,0,good-afternoon_9.csv,80,277
111,1,thank-you_22.csv,318,490
111,2,i-am-fine_8.csv,531,784
111,3,i-am-fine_25.csv,825,1002
112,0,thank-you_9.csv,64,225
112,1,thank-you_22.csv,258,430
112,2,please_21.csv,463,747
112,3,please_4.csv,780,1049
113,0,i-am-fine_16.csv,46,250
113,1,excuse-me_16.csv,274,429
113,2,i-love-you_2.csv,453,711
114,0,thank-you_10.csv,40,291
114,1,i-am-fine_21.csv,312,467
114,2,i-love-you_8.csv,488,758
115,0,excuse-me_9.csv,50,239
115,1,i-am-fine_19.csv,265,427
115,2,hello_6.csv,453,680
115,3,thank-you_15.csv,706,887
116,0,good-afternoon_14.csv,66,318
116,1,i-love-you_20.csv,352,622
116,2,good-morning_20.csv,656,936
117,0,hello_6.csv,48,275
117,1,hello_19.csv,300,469
117,2,please_9.csv,494,747
117,3,i-love-you_10.csv,772,1080
118,0,excuse-me_9.csv,78,267
118,1,i-am-fine_2.csv,307,549
118,2,hello_24.csv,589,769
118,3,good-afternoon_9.csv,809,1006
119,0,please_31.csv,44,232
119,1,i-am-fine_20.csv,255,439
119,2,i-am-fine_26.csv,462,651
120,0,thank-you_28.csv,48,199
120,1,i-am-fine_1.csv,224,448
120,2,thank-you_6.csv,473,703
120,3,i-love-you_28.csv,728,951
121,0,excuse-me_14.csv,20,163
121,1,good-afternoon_10.csv,174,401
121,2,thank-you_7.csv,412,659
122,0,i-love-you_29.csv,52,275
122,1,i-am-fine_20.csv,302,486
122,2,good-morning_12.csv,513,778
123,0,thank-you_30.csv,24,185
123,1,good-afternoon_17.csv,198,469
123,2,please_18.csv,482,789
123,3,hello_15.csv,802,985
124,0,hello_4.csv,82,352
124,1,thank-you_12.csv,394,635
124,2,thank-you_18.csv,677,826
124,3,please_25.csv,868,1076
125,0,good-morning_5.csv,48,303
125,1,thank-you_19.csv,328,474
125,2,i-am-fine_2.csv,499,741
126,0,i-love-you_26.csv,64,293
126,1,i-am-fine_29.csv,326,494
126,2,i-am-fine_3.csv,527,745
126,3,excuse-me_12.csv,778,968
127,0,good-morning_10.csv,30,294
127,1,please_39.csv,310,498
127,2,good-morning_11.csv,514,721
127,3,please_21.csv,737,1021
128,0,please_10.csv,78,314
128,1,i-am-fine_6.csv,354,608
128,2,hello_27.csv,648,824
129,0,i-am-fine_20.csv,52,236
129,1,please_6.csv,263,517
129,2,excuse-me_4.csv,544,745
130,0,hello_1.csv,76,306
130,1,good-morning_20.csv,345,625
130,2,excuse-me_4.csv,664,865
131,0,please_21.csv,50,334
131,1,good-morning_25.csv,360,535
131,2,good-afternoon_15.csv,561,795
132,0,thank-you_2.csv,78,290
132,1,good-morning_13.csv,330,626
132,2,i-love-you_28.csv,666,889
133,0,good-afternoon_5.csv,24,255
133,1,thank-you_11.csv,268,532
133,2,i-love-you_3.csv,545,810
134,0,good-morning_30.csv,82,242
134,1,hello_18.csv,284,446
134,2,good-morning_12.csv,488,753
135,0,i-love-you_23.csv,20,246
135,1,i-love-you_24.csv,257,462
135,2,good-morning_11.csv,473,680
136,0,i-love-you_16.csv,68,349
136,1,i-love-you_17.csv,384,696
136,2,good-morning_29.csv,731,903
136,3,please_31.csv,938,1126
137,0,hello_3.csv,40,301
137,1,please_24.csv,322,505
137,2,thank-you_2.csv,526,738
138,0,please_19.csv,50,275
138,1,good-morning_5.csv,301,556
138,2,thank-you_24.csv,582,730
139,0,i-am-fine_9.csv,44,233
139,1,i-am-fine_19.csv,256,418
139,2,hello_2.csv,441,670
140,0,good-morning_17.csv,48,359
140,1,excuse-me_12.csv,384,574
140,2,please_34.csv,599,773
141,0,please_35.csv,50,237
141,1,i-am-fine_30.csv,263,445
141,2,good-morning_9.csv,471,766
141,3,please_6.csv,792,1046
142,0,i-am-fine_15.csv,28,221
142,1,good-morning_26.csv,236,408
142,2,i-am-fine_13.csv,423,605
143,0,i-love-you_3.csv,50,315
143,1,thank-you_28.csv,341,492
143,2,excuse-me_12.csv,518,708
144,0,hello_29.csv,72,242
144,1,please_8.csv,279,545
144,2,hello_5.csv,582,783
144,3,i-am-fine_28.csv,820,996
145,0,thank-you_8.csv,26,244
145,1,please_27.csv,258,411
145,2,please_36.csv,425,612
146,0,good-afternoon_19.csv,42,298
146,1,i-love-you_5.csv,320,540
146,2,good-afternoon_11.csv,562,785
146,3,i-love-you_3.csv,807,1072
147,0,good-afternoon_22.csv,20,284
147,1,please_22.csv,295,542
147,2,i-am-fine_30.csv,553,735
148,0,please_27.csv,74,227
148,1,hello_25.csv,265,423
148,2,good-afternoon_16.csv,461,675
149,0,i-love-you_28.csv,42,265
149,1,please_36.csv,287,474
149,2,good-afternoon_5.csv,496,727
149,3,please_31.csv,749,937
150,0,please_18.csv,50,357
150,1,i-am-fine_26.csv,383,572
150,2,i-am-fine_19.csv,598,760
151,0,please_37.csv,24,218
151,1,excuse-me_4.csv,231,432
151,2,thank-you_22.csv,445,617
152,0,i-am-fine_24.csv,78,257
152,1,please_32.csv,297,476
152,2,hello_1.csv,516,746
152,3,excuse-me_8.csv,786,1014
153,0,please_14.csv,20,290
153,1,i-love-you_30.csv,301,523
153,2,i-love-you_19.csv,534,804
154,0,thank-you_17.csv,84,226
154,1,hello_21.csv,269,449
154,2,i-am-fine_15.csv,492,685
154,3,please_18.csv,728,1035
155,0,please_34.csv,24,198
155,1,good-afternoon_16.csv,211,425
155,2,i-am-fine_9.csv,438,627
155,3,good-morning_28.csv,640,819
156,0,please_31.csv,30,218
156,1,i-am-fine_15.csv,234,427
156,2,i-love-you_6.csv,443,740
157,0,excuse-me_1.csv,48,231
157,1,please_14.csv,256,526
157,2,good-morning_6.csv,551,784
157,3,please_3.csv,809,1060
158,0,good-afternoon_5.csv,42,273
158,1,please_31.csv,295,483
158,2,excuse-me_7.csv,505,714
158,3,thank-you_26.csv,736,873
159,0,hello_25.csv,52,210
159,1,good-morning_2.csv,237,463
159,2,thank-you_12.csv,490,731
160,0,good-afternoon_9.csv,74,271
160,1,please_22.csv,309,556
160,2,thank-you_22.csv,594,766
160,3,good-morning_19.csv,804,1049
161,0,thank-you_7.csv,74,321
161,1,hello_14.csv,359,520
161,2,hello_11.csv,558,776
161,3,please_3.csv,814,1065
162,0,excuse-me_3.csv,46,264
162,1,excuse-me_9.csv,288,477
162,2,good-afternoon_13.csv,501,739
163,0,thank-you_17.csv,20,162
163,1,thank-you_23.csv,173,322
163,2,thank-you_18.csv,333,482
163,3,please_25.csv,493,701
164,0,thank-you_5.csv,54,296
164,1,thank-you_18.csv,324,473
164,2,i-am-fine_9.csv,501,690
165,0,excuse-me_12.csv,50,240
165,1,please_14.csv,266,536
165,2,please_10.csv,562,798
165,3,excuse-me_4.csv,824,1025
166,0,good-morning_4.csv,76,285
166,1,hello_15.csv,324,507
166,2,good-morning_4.csv,546,755
167,0,i-love-you_28.csv,50,273
167,1,please_5.csv,299,555
167,2,good-afternoon_14.csv,581,833
168,0,please_29.csv,28,232
168,1,i-am-fine_13.csv,247,429
168,2,hello_8.csv,444,682
168,3,good-afternoon_10.csv,697,924
169,0,good-afternoon_7.csv,30,260
169,1,thank-you_27.csv,276,422
169,2,good-afternoon_3.csv,438,682
170,0,good-afternoon_21.csv,30,290
170,1,i-love-you_11.csv,306,597
170,2,please_5.csv,613,869
170,3,thank-you_6.csv,885,1115
171,0,please_39.csv,80,268
171,1,thank-you_6.csv,309,539
171,2,hello_19.csv,580,749
172,0,good-morning_16.csv,74,371
172,1,thank-you_26.csv,409,546
172,2,please_13.csv,584,851
173,0,excuse-me_6.csv,42,259
173,1,thank-you_8.csv,281,499
173,2,please_20.csv,521,794
174,0,good-morning_26.csv,40,212
174,1,good-afternoon_11.csv,233,456
174,2,good-afternoon_14.csv,477,729
174,3,i-am-fine_11.csv,750,961
175,0,good-morning_22.csv,50,334
175,1,i-love-you_17.csv,360,672
175,2,thank-you_10.csv,698,949
175,3,thank-you_9.csv,975,1136
176,0,i-am-fine_6.csv,22,276
176,1,good-morning_8.csv,288,536
176,2,thank-you_1.csv,548,787
176,3,good-morning_17.csv,799,1110
177,0,thank-you_19.csv,76,222
177,1,i-am-fine_16.csv,261,465
177,2,please_30.csv,504,686
177,3,excuse-me_11.csv,725,922
178,0,good-morning_2.csv,54,280
178,1,good-morning_27.csv,308,494
178,2,please_31.csv,522,710
178,3,hello_30.csv,738,906
179,0,good-morning_6.csv,56,289
179,1,excuse-me_4.csv,318,519
179,2,hello_26.csv,548,707
180,0,good-afternoon_6.csv,78,304
180,1,good-morning_21.csv,344,628
180,2,good-morning_15.csv,668,943
180,3,hello_10.csv,983,1203
181,0,good-morning_3.csv,20,234
181,1,i-am-fine_12.csv,245,434
181,2,good-afternoon_15.csv,445,679
181,3,good-afternoon_17.csv,690,961
182,0,i-love-you_23.csv,46,272
182,1,thank-you_11.csv,296,560
182,2,good-afternoon_7.csv,584,814
183,0,hello_6.csv,50,277
183,1,good-morning_5.csv,303,558
183,2,good-morning_4.csv,584,793
183,3,hello_18.csv,819,981
184,0,good-afternoon_3.csv,76,320
184,1,i-am-fine_16.csv,359,563
184,2,good-morning_7.csv,602,824
185,0,good-morning_28.csv,44,223
185,1,thank-you_24.csv,246,394
185,2,please_5.csv,417,673
185,3,hello_23.csv,696,831
186,0,hello_27.csv,30,206
186,1,i-am-fine_1.csv,222,446
186,2,please_7.csv,462,690
187,0,thank-you_30.csv,76,237
187,1,thank-you_10.csv,276,527
187,2,hello_11.csv,566,784
188,0,good-afternoon_2.csv,86,341
188,1,please_24.csv,385,568
188,2,thank-you_12.csv,612,853
189,0,thank-you_17.csv,56,198
189,1,hello_11.csv,227,445
189,2,hello_20.csv,474,640
189,3,good-morning_25.csv,669,844
190,0,thank-you_22.csv,20,192
190,1,good-morning_16.csv,203,500
190,2,thank-you_30.csv,511,672
190,3,good-morning_5.csv,683,938
191,0,i-am-fine_21.csv,42,197
191,1,thank-you_18.csv,219,368
191,2,please_5.csv,390,646
192,0,hello_26.csv,54,213
192,1,hello_2.csv,241,470
192,2,good-morning_25.csv,498,673
192,3,thank-you_2.csv,701,913
193,0,thank-you_23.csv,22,171
193,1,hello_15.csv,183,366
193,2,please_28.csv,378,573
194,0,excuse-me_13.csv,50,244
194,1,please_17.csv,270,541
194,2,please_10.csv,567,803
195,0,good-morning_28.csv,30,209
195,1,i-am-fine_2.csv,225,467
195,2,i-love-you_21.csv,483,763
195,3,i-am-fine_9.csv,779,968
196,0,hello_7.csv,20,249
196,1,good-afternoon_13.csv,260,498
196,2,thank-you_9.csv,509,670
196,3,hello_5.csv,681,882
197,0,i-am-fine_18.csv,22,202
197,1,thank-you_12.csv,214,455
197,2,please_3.csv,467,718
198,0,hello_3.csv,72,333
198,1,hello_28.csv,370,536
198,2,i-love-you_25.csv,573,798
198,3,please_40.csv,835,1046
199,0,hello_19.csv,20,189
199,1,good-afternoon_3.csv,200,444
199,2,excuse-me_8.csv,455,683
199,3,good-morning_28.csv,694,873
200,0,please_14.csv,74,344
200,1,i-love-you_5.csv,382,602
200,2,i-love-you_14.csv,640,960
201,0,please_17.csv,44,315
201,1,i-love-you_16.csv,338,619
201,2,thank-you_3.csv,642,883
202,0,good-afternoon_10.csv,30,257
202,1,excuse-me_16.csv,273,428
202,2,please_13.csv,444,711
203,0,thank-you_22.csv,44,216
203,1,please_1.csv,239,484
203,2,i-love-you_4.csv,507,821
204,0,thank-you_29.csv,22,162
204,1,i-love-you_7.csv,174,445
204,2,thank-you_10.csv,457,708
204,3,good-afternoon_20.csv,720,973
205,0,thank-you_7.csv,58,305
205,1,please_30.csv,335,517
205,2,hello_30.csv,547,715
205,3,i-am-fine_2.csv,745,987
206,0,i-am-fine_8.csv,50,303
206,1,i-am-fine_25.csv,329,506
206,2,good-afternoon_21.csv,532,792
206,3,i-love-you_18.csv,818,1107
207,0,good-afternoon_18.csv,22,292
207,1,please_3.csv,304,555
207,2,thank-you_21.csv,567,723
207,3,good-afternoon_22.csv,735,999
208,0,thank-you_1.csv,72,311
208,1,hello_16.csv,348,547
208,2,thank-you_3.csv,584,825
208,3,good-afternoon_5.csv,862,1093
209,0,thank-you_23.csv,68,217
209,1,i-am-fine_12.csv,252,441
209,2,hello_12.csv,476,705
210,0,please_30.csv,46,228
210,1,please_14.csv,252,522
210,2,hello_19.csv,546,715
210,3,excuse-me_13.csv,739,933
211,0,hello_10.csv,28,248
211,1,good-afternoon_9.csv,263,460
211,2,please_21.csv,475,759
211,3,please_37.csv,774,968
212,0,good-morning_21.csv,50,334
212,1,excuse-me_8.csv,360,588
212,2,thank-you_24.csv,614,762
213,0,please_4.csv,78,347
213,1,please_34.csv,387,561
213,2,i-love-you_25.csv,601,826
214,0,please_34.csv,74,248
214,1,i-am-fine_24.csv,286,465
214,2,excuse-me_2.csv,503,693
214,3,hello_1.csv,731,961
215,0,please_23.csv,74,253
215,1,hello_24.csv,291,471
215,2,i-love-you_20.csv,509,779
216,0,good-afternoon_18.csv,54,324
216,1,thank-you_28.csv,352,503
216,2,i-am-fine_16.csv,531,735
217,0,please_15.csv,20,300
217,1,i-love-you_9.csv,311,576
217,2,please_30.csv,587,769
217,3,please_21.csv,780,1064
218,0,i-am-fine_6.csv,44,298
218,1,thank-you_18.csv,321,470
218,2,i-love-you_3.csv,493,758
218,3,i-am-fine_20.csv,781,965
219,0,please_8.csv,54,320
219,1,hello_3.csv,348,609
219,2,thank-you_30.csv,637,798
220,0,please_6.csv,42,296
220,1,excuse-me_14.csv,318,461
220,2,good-afternoon_22.csv,483,747
