stream_id,stream_length,first_window_id,last_window_id
202,725,7131,7156
203,848,7157,7188
204,1005,7189,7228
205,1025,7229,7269
206,1132,7270,7315
207,1023,7316,7356
208,1104,7357,7401
209,721,7402,7426
210,969,7427,7464
211,991,7465,7503
212,784,7504,7532
213,852,7533,7564
214,1002,7565,7603
215,794,7604,7632
216,763,7633,7660
217,1079,7661,7703
218,981,7704,7741
219,812,7742,7771
220,994,7772,7810
221,1134,7811,7856
222,980,7857,7894
223,820,7895,7924
224,776,7925,7952
225,527,7953,7968
226,905,7969,8003
227,985,8004,8042
228,964,8043,8080
229,768,8081,8108
230,711,8109,8133
231,817,8134,8163
232,983,8164,8202
233,912,8203,8237
234,738,8238,8263
235,1146,8264,8310
236,863,8311,8343
237,686,8344,8367
238,1165,8368,8415
239,683,8416,8439
240,888,8440,8473
241,1120,8474,8518
242,1078,8519,8561
243,1072,8562,8604
244,779,8605,8632
245,1154,8633,8679
246,1014,8680,8719
247,1127,8720,8765
248,936,8766,8801
249,838,8802,8832
250,737,8833,8858
251,716,8859,8883
252,868,8884,8916
253,995,8917,8955
254,698,8956,8979
255,932,8980,9015
256,1206,9016,9065
257,1041,9066,9106
258,775,9107,9134
259,1041,9135,9175
260,853,9176,9207
261,975,9208,9245
262,1010,9246,9285
263,1009,9286,9325
264,894,9326,9359
265,842,9360,9390
266,817,9391,9420
267,749,9421,9447
268,750,9448,9474
269,749,9475,9501
270,1179,9502,9549
271,721,9550,9574
272,730,9575,9600
273,921,9601,9635
274,1061,9636,9677
275,748,9678,9704
276,875,9705,9737
277,1027,9738,9778
278,814,9779,9808
279,869,9809,9841
280,798,9842,9870
281,837,9871,9901
282,620,9902,9921
283,902,9922,9955
284,736,9956,9981
285,1039,9982,10022
286,1085,10023,10066
287,898,10067,10100
288,830,10101,10131
289,714,10132,10156
290,727,10157,10182
291,903,10183,10217
292,1006,10218,10257
293,860,10258,10289
294,789,10290,10318
295,775,10319,10346
296,903,10347,10381
297,824,10382,10412
298,730,10413,10438
299,959,10439,10475
300,670,10476,10498
301,730,10499,10524
302,977,10525,10562
303,854,10563,10594
304,881,10595,10627
305,759,10628,10654
306,1002,10655,10693
307,747,10694,10720
308,733,10721,10746
309,726,10747,10772
310,950,10773,10809
311,792,10810,10838
312,1150,10839,10885
313,715,10886,10910
314,734,10911,10936
315,704,10937,10961
316,1015,10962,11001
317,943,11002,11038
318,1052,11039,11080
319,756,11081,11107
320,723,11108,11133
321,742,11134,11159
322,916,11160,11194
323,945,11195,11231
324,1157,11232,11278
325,730,11279,11304
326,634,11305,11325
327,731,11326,11351
328,1130,11352,11397
329,761,11398,11424
330,784,11425,11453
331,771,11454,11481
332,907,11482,11516
333,1066,11517,11559
334,1043,11560,11601
335,951,11602,11638
336,1089,11639,11682
337,989,11683,11721
338,949,11722,11758
339,1017,11759,11798
340,850,11799,11830
341,1166,11831,11878
342,748,11879,11905
343,670,11906,11928
344,889,11929,11962
345,1124,11963,12008
346,701,12009,12032
347,1118,12033,12077
348,568,12078,12095
349,1261,12096,12147
350,845,12148,12179
351,720,12180,12204
352,1126,12205,12250
353,1025,12251,12291
354,806,12292,12321
355,860,12322,12353
356,873,12354,12386
357,904,12387,12421
358,1006,12422,12461
359,1010,12462,12501
360,867,12502,12534
361,889,12535,12568
362,637,12569,12589
363,715,12590,12614
364,848,12615,12646
365,692,12647,12670
366,769,12671,12698
367,704,12699,12723
368,1039,12724,12764
369,814,12765,12794
370,790,12795,12823
371,1103,12824,12868
372,860,12869,12900
373,932,12901,12936
374,835,12937,12967
375,874,12968,13000
376,1034,13001,13041
377,1183,13042,13090
378,902,13091,13124
379,587,13125,13143
380,1065,13144,13186
381,980,13187,13224
382,945,13225,13261
383,934,13262,13297
384,1056,13298,13339
385,1019,13340,13379
386,1100,13380,13423
387,679,13424,13446
388,1064,13447,13489
389,1148,13490,13536
390,799,13537,13565
391,815,13566,13595
392,1112,13596,13640
393,735,13641,13666
394,1086,13667,13710
395,1041,13711,13751
396,913,13752,13786
397,826,13787,13817
398,909,13818,13852
399,1075,13853,13895
400,819,13896,13925
401,939,13926,13961
402,1035,13962,14002
403,651,14003,14024
404,1009,14025,14064
405,908,14065,14099
406,751,14100,14126
407,1132,14127,14172
408,776,14173,14200
409,904,14201,14235
410,1070,14236,14278
411,1024,14279,14319
412,664,14320,14342
413,929,14343,14378
414,826,14379,14409
415,801,14410,14438
416,794,14439,14467
417,887,14468,14501
418,1178,14502,14549
419,937,14550,14585
420,1050,14586,14627
421,680,14628,14650
422,998,14651,14689
423,985,14690,14728
424,1110,14729,14773
425,1072,14774,14816
426,948,14817,14853
427,1045,14854,14895
428,948,14896,14932
429,678,14933,14955
430,1106,14956,15000
431,896,15001,15034
432,836,15035,15065
433,871,15066,15098
434,1156,15099,15145
435,1209,15146,15195
436,797,15196,15224
437,793,15225,15253
438,1070,15254,15296
439,1003,15297,15336
440,715,15337,15361
441,1065,15362,15404
442,1063,15405,15447
443,813,15448,15477
444,1142,15478,15523
445,960,15524,15560
446,851,15561,15592
447,734,15593,15618
448,840,15619,15649
449,977,15650,15687
450,851,15688,15719
451,965,15720,15757
452,714,15758,15782
453,825,15783,15813
454,1065,15814,15856
455,1022,15857,15896
456,736,15897,15922
457,760,15923,15949
458,1019,15950,15989
459,1093,15990,16033
460,768,16034,16061
461,1193,16062,16110
462,707,16111,16135
463,1058,16136,16177
464,978,16178,16215
465,735,16216,16241
466,841,16242,16272
467,727,16273,16298
468,852,16299,16330
469,699,16331,16354
470,752,16355,16381
471,1214,16382,16431
472,810,16432,16461
473,923,16462,16497
474,706,16498,16522
475,667,16523,16545
476,744,16546,16572
477,802,16573,16601
478,675,16602,16624
479,928,16625,16660
480,999,16661,16699
481,1181,16700,16747
482,684,16748,16771
483,810,16772,16801
484,770,16802,16829
485,1041,16830,16870
486,618,16871,16890
487,783,16891,16919
488,948,16920,16956
489,1218,16957,17006
490,771,17007,17034
491,1040,17035,17075
492,673,17076,17098
493,783,17099,17127
494,799,17128,17156
495,877,17157,17189
496,1016,17190,17229
497,844,17230,17261
498,708,17262,17286
499,1057,17287,17328
